Username,TypeOfGame,Result,Date,Accuracy%
Ruth,Game2,Win,2023-12-25 02:44:27,55
Tal,Game2,Lose,2023-12-19 15:43:58,0
Hadar2238,Game2,Win,2023-12-28 01:10:43,70
Ayelet6650,Game1,Win,2023-12-26 09:14:06,90
Yuval7148,Game1,Win,2024-01-12 04:21:25,80
Yoni4650,Game1,Lose,2024-01-26 08:34:01,65
Erez1282,Game2,Win,2023-12-02 12:46:08,75
Revital655,Game1,Lose,2023-12-09 07:42:27,40
Sapir895,Game2,Lose,2024-02-10 03:00:18,5
Limor4102,Game1,Win,2023-12-16 12:55:44,40
Tova9153,Game2,Lose,2023-12-12 15:47:46,85
Yaeli8083,Game2,Lose,2023-12-13 06:46:31,60
Vered3101,Game2,Lose,2024-02-12 03:04:46,65
Leah5996,Game2,Win,2023-12-20 08:37:47,75
Vardit5989,Game1,Lose,2024-02-28 21:13:09,15
Tomer4165,Game2,Win,2024-02-25 20:03:40,55
Eli4997,Game1,Win,2023-12-16 15:33:50,15
Gal,Game2,Win,2024-02-16 04:23:11,0
Einav,Game2,Lose,2024-02-14 13:59:20,25
Hadar2238,Game1,Lose,2023-12-05 09:08:40,55
Orly51,Game1,Lose,2024-01-24 17:05:49,60
Udi5857,Game2,Lose,2024-02-12 16:38:01,45
Tal6638,Game1,Win,2023-12-08 22:45:16,65
Shirley1309,Game1,Lose,2024-02-15 21:29:50,30
Arik9401,Game2,Lose,2024-01-02 08:09:33,20
Guy,Game1,Lose,2023-12-12 03:00:56,65
Gal7573,Game2,Lose,2024-02-01 02:00:03,25
Lilach2205,Game1,Win,2024-01-09 02:47:58,40
Sivan5784,Game1,Lose,2024-02-27 10:07:32,55
Rina7770,Game2,Lose,2024-03-01 14:59:27,50
Amira5100,Game1,Win,2023-12-29 10:07:14,50
Ilanit5738,Game1,Win,2024-01-28 07:08:55,55
Lilach9051,Game2,Win,2023-12-04 09:09:14,25
Elad,Game2,Lose,2023-12-24 07:01:41,75
Rina7770,Game2,Lose,2023-12-04 01:14:57,85
Tuvia6024,Game1,Win,2024-01-30 12:22:28,25
Eitan,Game1,Lose,2024-02-13 21:56:01,50
Alon502,Game2,Lose,2024-01-02 01:41:39,80
Yiftach8620,Game2,Lose,2023-12-06 04:53:45,100
Gadi8688,Game1,Win,2023-12-20 08:46:20,85
Leah9650,Game2,Lose,2024-01-13 09:47:04,45
Avital,Game2,Lose,2023-12-11 13:42:13,5
Irit,Game1,Win,2023-12-18 12:45:30,25
Sivan,Game2,Win,2023-12-24 05:08:39,95
Amram4898,Game1,Lose,2024-01-24 23:09:16,40
Yigal1010,Game1,Win,2023-12-22 01:04:11,65
Alon3413,Game1,Win,2023-12-08 11:37:43,15
Nechama4630,Game1,Win,2024-02-21 16:42:00,55
Dikla,Game1,Lose,2024-02-12 10:44:12,45
Yair2179,Game1,Win,2024-02-04 13:06:26,100
Dikla,Game1,Win,2024-02-10 01:38:38,95
Ayelet6650,Game1,Win,2024-01-03 01:29:55,85
Moti,Game1,Lose,2024-03-02 21:45:39,25
Asaf6441,Game1,Lose,2024-01-07 03:53:16,20
Lilach6642,Game2,Lose,2023-12-27 18:06:46,40
Adi,Game1,Win,2023-12-07 13:45:02,45
Yanai2080,Game1,Lose,2023-12-24 21:18:29,55
Orly5064,Game2,Win,2024-02-08 06:05:22,90
Zvi9659,Game1,Win,2024-01-01 23:57:31,75
Revital655,Game1,Win,2024-02-13 13:15:52,95
Noga,Game2,Win,2024-02-03 15:22:24,35
Gal7573,Game2,Lose,2023-12-18 11:42:05,80
Limor921,Game2,Win,2024-01-14 21:04:44,90
Yossi9263,Game1,Win,2023-12-27 05:43:57,25
Idan,Game2,Win,2024-02-01 20:45:56,55
Leah,Game2,Win,2024-03-01 00:15:36,70
Shmuel3001,Game1,Win,2024-02-20 19:12:02,80
Hodaya,Game2,Lose,2024-02-15 05:44:53,10
Uri,Game1,Lose,2024-01-01 17:06:33,10
Roi,Game1,Lose,2024-01-12 18:21:12,70
Asaf,Game2,Win,2024-01-10 01:27:07,20
Yehudit7031,Game1,Win,2023-12-16 09:47:25,40
Yigal4577,Game2,Lose,2024-01-07 09:50:02,70
Yanai,Game2,Lose,2023-12-20 00:37:53,75
Ilanit6753,Game1,Win,2024-02-23 23:24:32,40
Yoni3390,Game1,Win,2024-01-20 21:39:02,75
Nechama4630,Game2,Lose,2024-02-21 10:37:28,5
Moran,Game2,Win,2024-01-05 21:02:10,85
Shani,Game1,Win,2024-03-04 05:50:38,10
Shmuel3001,Game1,Lose,2023-12-10 03:45:05,80
Lilach795,Game2,Lose,2024-01-02 23:09:37,25
Nir5487,Game1,Win,2024-01-10 17:56:27,60
Yossi9263,Game2,Win,2024-01-06 13:26:02,100
Rachel3250,Game1,Win,2024-01-01 16:36:32,45
Orly3565,Game2,Lose,2024-02-15 23:57:12,25
Avi6572,Game1,Win,2024-01-03 13:59:28,5
Rachel2818,Game1,Lose,2024-01-03 16:31:40,20
Avi265,Game2,Lose,2023-12-17 08:45:55,40
Yehoshua9860,Game1,Lose,2024-02-13 06:59:22,70
Eran,Game1,Lose,2024-01-25 12:36:32,95
Sivan6470,Game2,Lose,2024-01-07 18:39:16,90
Rachel2818,Game2,Lose,2023-12-18 17:02:40,5
Osnat,Game2,Lose,2023-12-01 01:05:12,0
Tomer4165,Game1,Win,2024-02-25 22:49:45,50
Limor921,Game1,Lose,2023-12-08 09:52:21,100
Yoni3390,Game2,Win,2023-12-11 21:03:30,25
Bracha,Game1,Lose,2024-03-01 20:08:27,100
Vardit,Game2,Lose,2024-02-10 08:14:51,50
Noa,Game2,Lose,2023-12-09 15:10:52,100
Ilanit,Game1,Lose,2023-12-10 01:25:29,45
Vardit7907,Game2,Lose,2024-02-16 12:52:59,25
Irit,Game1,Lose,2023-12-29 13:03:41,40
Michal,Game2,Win,2023-12-28 14:54:40,20
Inbar,Game2,Lose,2024-02-03 03:14:20,50
Yechiel2379,Game1,Win,2024-01-28 23:42:59,25
Shmuel,Game2,Lose,2023-12-15 01:43:49,35
Kfir,Game1,Win,2024-01-08 13:27:07,0
Amalia4245,Game1,Lose,2024-02-13 02:12:59,30
Orly,Game2,Win,2024-03-02 13:34:27,75
Bracha8694,Game2,Lose,2023-12-27 15:57:37,95
Shira,Game1,Win,2024-01-16 12:43:26,35
Noam8049,Game1,Lose,2024-01-02 04:22:54,50
Yaelle2836,Game1,Win,2024-02-23 20:32:42,70
Tom6857,Game1,Lose,2023-12-21 15:57:23,5
Leah7630,Game2,Win,2024-02-01 00:29:11,40
Vardit,Game1,Win,2024-03-02 02:20:29,65
Stav1658,Game1,Win,2024-02-28 15:12:37,55
Ilanit5738,Game1,Lose,2023-12-27 14:00:57,20
Sapir895,Game2,Win,2023-12-25 23:11:18,30
Eli9910,Game2,Lose,2024-02-29 19:17:38,0
Gal,Game2,Lose,2024-03-03 05:27:04,95
Shirley1309,Game1,Lose,2024-02-09 05:09:36,40
Shulamit,Game1,Win,2023-12-28 21:57:41,35
Iris5212,Game1,Lose,2024-02-11 20:57:49,20
Yitzhak6530,Game2,Win,2024-01-31 17:50:09,65
Lilach4779,Game2,Win,2024-01-15 08:20:55,0
Shulamit7679,Game2,Win,2024-01-25 23:23:00,95
Lilach,Game1,Lose,2024-02-16 14:06:53,50
Tamar,Game1,Win,2024-02-01 05:43:07,15
Yoni,Game1,Lose,2024-01-01 13:44:00,75
Nechama7436,Game1,Win,2024-02-11 20:35:58,100
Iris5663,Game1,Win,2023-12-02 10:20:08,80
Orly51,Game2,Win,2023-12-29 02:29:26,25
Yehuda5382,Game1,Win,2024-01-26 09:11:41,35
Yardena,Game1,Win,2024-02-04 02:44:28,65
Shirley1309,Game2,Lose,2024-01-01 09:05:43,90
Vered,Game1,Lose,2023-12-11 04:29:53,15
Hadar2614,Game1,Win,2024-02-28 09:17:48,90
Yohanan,Game2,Lose,2024-01-15 05:38:24,75
Yohanan371,Game1,Win,2024-01-11 17:40:13,70
Yossi9263,Game2,Win,2023-12-13 10:45:34,40
Yoav1646,Game2,Lose,2024-01-29 13:06:43,15
Yotam3980,Game1,Lose,2024-02-19 04:43:08,0
Ron,Game1,Win,2024-02-17 00:40:46,30
Leah5996,Game1,Win,2024-01-23 17:31:44,65
Bracha8694,Game1,Win,2023-12-11 17:14:03,40
Gadi9935,Game2,Win,2024-02-15 05:56:30,75
Tuvia,Game1,Lose,2024-01-20 22:42:07,85
Lilach9288,Game2,Lose,2023-12-02 09:51:11,40
Yoav,Game1,Win,2024-01-08 09:52:26,100
Shmuel7323,Game2,Lose,2023-12-05 11:38:17,50
Tova9899,Game1,Lose,2024-01-14 17:22:33,80
Alona,Game1,Lose,2024-02-21 17:02:32,0
Yoel,Game1,Win,2023-12-10 10:16:45,75
Lior5292,Game2,Win,2024-01-27 21:27:16,10
Yehudit7031,Game1,Lose,2024-02-27 20:06:44,30
Zeev4451,Game1,Win,2023-12-20 16:58:50,5
Yuval,Game1,Win,2024-01-17 08:20:28,5
Noam6461,Game1,Lose,2024-01-15 21:32:48,65
Avi265,Game1,Win,2023-12-17 12:36:34,95
Amir,Game1,Lose,2024-02-21 11:22:00,50
Tuvia6024,Game1,Lose,2024-02-01 03:10:48,20
Orly,Game2,Lose,2023-12-08 10:57:05,45
Mira8697,Game2,Lose,2023-12-19 23:25:43,15
Yishai2209,Game1,Win,2024-02-25 08:40:22,40
Yohanan,Game2,Lose,2023-12-08 14:03:07,35
Ayelet6650,Game2,Win,2024-02-27 16:14:12,0
Sigalit,Game1,Lose,2024-01-20 17:18:17,80
Yitzhak6964,Game1,Lose,2024-02-04 06:05:47,55
Sivan5784,Game1,Win,2023-12-20 17:13:43,5
Maya,Game1,Win,2024-02-19 22:31:40,40
Eitan4767,Game2,Lose,2024-01-14 03:10:19,40
Vered,Game1,Lose,2023-12-03 04:48:13,75
Yiftach7472,Game2,Lose,2024-01-07 07:20:09,85
Limor921,Game2,Win,2024-01-06 23:30:06,10
Sarit,Game2,Win,2024-02-26 04:04:22,5
Yehonatan,Game1,Lose,2023-12-20 00:41:28,55
Gideon,Game1,Lose,2024-03-03 17:31:09,10
Maya6459,Game2,Win,2024-02-08 01:26:52,45
Yardena,Game2,Lose,2024-01-21 12:38:32,80
Ruth,Game1,Win,2024-02-16 08:59:01,30
Yitzhak6964,Game1,Win,2023-12-04 22:34:00,5
Shulamit407,Game2,Lose,2023-12-16 12:34:05,10
Idan1282,Game1,Win,2023-12-07 21:53:22,20
Udi,Game2,Lose,2024-01-07 20:16:34,60
Guy9946,Game1,Lose,2024-01-10 06:08:17,70
Noa4796,Game2,Win,2024-02-15 20:59:20,75
Shmuel,Game1,Win,2024-01-01 06:44:54,60
Yehudit,Game2,Win,2023-12-11 12:58:37,100
Shaked1540,Game1,Lose,2024-02-27 07:57:32,40
Yigal,Game2,Lose,2023-12-23 09:42:26,75
Osnat,Game1,Lose,2024-01-27 21:51:56,5
Dudi8720,Game1,Lose,2023-12-31 01:18:50,20
Avraham9344,Game2,Lose,2023-12-27 04:53:02,90
Lilach3834,Game1,Lose,2024-01-25 10:42:33,95
Gideon,Game2,Lose,2023-12-05 05:13:10,20
Roi9898,Game1,Lose,2024-01-13 07:13:50,20
Uri3179,Game2,Lose,2024-02-15 15:15:50,100
Lior,Game1,Win,2024-03-01 05:02:35,70
Amalia,Game1,Win,2024-01-26 16:51:09,80
Lilach1093,Game2,Win,2024-01-03 11:07:49,90
Alon502,Game1,Win,2024-02-18 08:21:16,60
Roi9481,Game2,Lose,2024-01-29 16:42:04,100
Amram6787,Game2,Win,2023-12-07 15:43:05,45
Iris5663,Game1,Win,2023-12-12 06:19:22,15
Shoham8629,Game2,Lose,2024-01-15 15:56:06,30
Nechama7436,Game1,Win,2024-02-27 03:25:11,65
Ziva,Game1,Win,2024-01-19 15:08:35,40
Amram,Game1,Win,2024-02-12 15:01:41,95
Tali5497,Game1,Lose,2023-12-08 02:04:15,65
Yanai2080,Game1,Lose,2024-01-12 03:25:53,5
Tomer,Game2,Lose,2024-01-18 18:57:30,35
Tamar,Game1,Win,2024-02-03 13:28:08,65
Yehoshua,Game1,Lose,2023-12-17 12:22:14,10
Yifat8378,Game1,Lose,2023-12-23 23:20:38,55
Leah,Game2,Lose,2023-12-24 15:48:47,50
Yechiel,Game1,Lose,2024-03-02 08:59:09,0
Noa4796,Game2,Lose,2024-02-16 06:45:25,0
Erez,Game1,Lose,2024-01-27 10:29:14,0
Yechiel8576,Game1,Lose,2024-01-25 16:20:10,20
Yehuda,Game1,Win,2024-02-28 23:15:58,80
Lilach207,Game1,Lose,2024-01-13 10:30:39,90
Tzipi,Game1,Win,2024-01-11 09:22:25,65
Irit6913,Game1,Win,2024-01-01 07:53:50,20
Yulia8617,Game1,Win,2024-02-14 07:33:02,85
Dudu5007,Game1,Win,2024-02-03 18:47:36,50
Nili,Game2,Lose,2023-12-12 09:30:57,40
Yfat,Game1,Lose,2023-12-25 09:58:24,20
Yardena,Game2,Lose,2023-12-28 05:32:54,10
Yael,Game2,Win,2024-01-28 07:23:55,50
Yocheved8581,Game1,Lose,2024-02-23 17:58:25,40
Tom,Game2,Win,2023-12-01 06:01:39,90
Nurit,Game2,Lose,2023-12-14 18:59:30,70
Yiftach7472,Game2,Lose,2024-01-03 21:48:37,40
Tom,Game1,Lose,2023-12-15 12:45:21,60
Orit,Game1,Lose,2024-01-31 14:15:50,55
Vardit7486,Game1,Win,2023-12-29 00:14:44,75
Ilanit,Game2,Win,2023-12-23 10:38:48,60
Keren7544,Game2,Lose,2024-01-27 13:47:04,50
Yehudit3439,Game2,Win,2024-01-19 12:45:43,0
Yifat8674,Game1,Win,2023-12-06 08:58:15,60
Tomer1314,Game1,Lose,2023-12-29 09:36:31,70
Nechama7436,Game1,Lose,2024-02-05 20:20:21,70
Orit5861,Game1,Win,2023-12-10 08:03:19,40
Tzipi1883,Game2,Win,2023-12-18 18:12:12,65
Yifat8674,Game2,Lose,2023-12-13 20:07:28,45
Shir7447,Game1,Win,2024-01-18 12:54:50,60
Zeev,Game1,Win,2024-01-29 08:15:14,40
Yfat9204,Game1,Win,2024-01-07 03:16:48,85
Ziva,Game2,Lose,2023-12-23 11:28:02,35
Shira7763,Game1,Lose,2023-12-29 05:54:10,25
Shani,Game1,Win,2023-12-24 15:00:55,15
Amir2598,Game2,Win,2024-01-06 12:24:12,75
Rina6716,Game1,Win,2024-02-28 12:52:54,25
Maya6459,Game1,Lose,2024-02-18 21:12:33,45
Yiftach9761,Game2,Lose,2024-02-23 18:25:44,65
Avi386,Game1,Lose,2024-02-01 10:05:16,10
Tom,Game2,Win,2023-12-11 07:33:25,25
Vardit,Game1,Win,2024-01-30 03:24:59,50
Yair5600,Game2,Lose,2024-02-01 13:09:52,20
Einav,Game1,Lose,2023-12-21 14:07:13,70
Yaelle,Game2,Win,2024-01-18 10:58:03,95
Tova9153,Game2,Win,2024-01-01 14:39:24,85
Sivan,Game2,Win,2024-02-14 10:20:52,35
Nir8054,Game2,Lose,2024-01-31 05:01:50,100
Adva3086,Game2,Win,2024-01-17 16:30:56,35
Nimrod,Game1,Lose,2024-01-05 04:58:20,40
Nirit,Game2,Win,2023-12-03 18:19:02,0
Tzipi1745,Game2,Lose,2024-01-15 12:40:00,100
Bracha8036,Game1,Win,2024-03-03 00:33:27,50
Einav,Game2,Win,2023-12-12 10:16:47,15
Yossi4647,Game1,Lose,2023-12-28 19:04:18,5
Yishai804,Game2,Win,2024-01-19 13:40:05,20
Yulia,Game1,Win,2024-01-06 00:20:02,80
Eli,Game1,Win,2024-03-04 05:26:18,50
Natan8583,Game1,Lose,2024-03-01 00:58:03,95
Amram4898,Game2,Lose,2023-12-27 14:40:43,5
Lilach9051,Game2,Lose,2024-01-17 15:24:47,30
Yardena7904,Game1,Lose,2024-02-19 04:13:37,85
Shir7447,Game1,Lose,2023-12-20 02:39:15,10
Vardit7486,Game2,Win,2024-01-26 22:02:24,75
Amir,Game2,Lose,2024-02-21 20:00:35,75
Nirit,Game2,Lose,2024-02-26 05:25:55,40
Yitzhak6964,Game1,Lose,2024-01-17 17:27:55,55
Rina7770,Game2,Lose,2024-03-03 00:21:22,85
Yechiel8576,Game2,Lose,2024-02-06 08:36:26,30
Shirley5294,Game1,Win,2024-02-21 05:04:08,65
Yehudit848,Game2,Win,2024-02-11 19:30:14,40
Shir3692,Game2,Lose,2024-01-16 20:50:51,45
Guy,Game2,Lose,2024-01-17 23:59:37,95
Yulia8693,Game1,Lose,2024-03-01 10:28:09,20
Shani578,Game2,Win,2023-12-19 21:07:45,10
Asnat,Game2,Lose,2024-01-01 06:02:47,25
Yanai948,Game1,Win,2023-12-25 03:12:52,10
Shira7205,Game2,Lose,2024-03-02 20:39:51,90
Bracha8036,Game1,Lose,2023-12-17 20:55:39,0
Dror,Game2,Win,2023-12-16 12:02:37,50
Nechama,Game2,Lose,2024-01-16 03:38:53,50
Ophir2711,Game1,Lose,2024-01-06 09:43:32,0
Yaelle2993,Game2,Win,2024-02-05 15:30:51,50
Omri,Game1,Win,2024-01-20 17:04:11,30
Iris7323,Game1,Lose,2024-01-23 10:14:13,0
Yiftach9761,Game2,Lose,2024-01-12 03:08:36,40
Yigal1010,Game2,Lose,2024-02-19 02:34:14,60
Vered3101,Game1,Win,2023-12-05 10:07:07,30
Eran,Game2,Win,2023-12-24 19:38:00,35
Anat7863,Game1,Win,2024-02-13 14:28:47,55
Ofir,Game2,Lose,2024-03-01 17:46:30,70
Nurit3356,Game2,Lose,2024-02-23 19:24:18,75
Roi9898,Game2,Lose,2024-02-13 10:07:50,25
Motti,Game1,Win,2024-01-31 21:03:01,55
Irit,Game1,Win,2024-02-12 21:57:02,25
Tomer,Game2,Lose,2024-01-18 08:59:40,20
Iris7323,Game1,Win,2024-02-05 02:39:13,5
Shaked1540,Game1,Lose,2024-01-28 19:52:19,30
Amalia4245,Game2,Win,2024-02-16 20:40:56,25
Limor921,Game1,Lose,2024-01-08 15:44:51,20
Kfir2688,Game2,Lose,2024-02-15 23:28:56,50
Kfir2688,Game2,Lose,2024-01-18 20:34:26,90
Alon,Game1,Win,2024-02-19 14:09:37,30
Gal,Game2,Win,2024-01-23 00:21:54,55
Yehonatan,Game1,Win,2024-02-12 00:14:54,75
Erez,Game2,Lose,2024-01-06 07:43:23,20
Nir8054,Game2,Win,2024-02-16 06:05:28,100
Noa437,Game2,Win,2024-02-17 14:16:33,15
Ilanit5060,Game2,Lose,2023-12-07 01:51:24,50
Shani3433,Game2,Win,2024-01-24 05:01:52,50
Gideon9301,Game2,Lose,2024-01-09 08:47:21,80
Tom8205,Game1,Win,2023-12-09 08:14:23,45
Arik5308,Game1,Lose,2024-01-08 15:17:36,80
Dudi8720,Game2,Lose,2024-01-05 22:17:56,40
Yoni9963,Game1,Win,2024-01-10 23:29:48,35
Rachel,Game2,Win,2023-12-25 04:25:31,85
Ron9550,Game1,Lose,2024-03-01 23:47:47,40
Ofir6238,Game1,Lose,2024-02-23 22:14:09,50
Hodaya,Game2,Lose,2023-12-10 12:17:55,90
Asaf2639,Game2,Lose,2024-01-31 06:09:44,60
Yael,Game1,Lose,2024-02-27 00:09:18,40
Amir2598,Game2,Win,2023-12-11 04:02:06,90
Sivan,Game1,Win,2024-02-13 08:15:40,25
Yaeli,Game1,Win,2024-03-02 07:04:24,65
Moran3490,Game1,Win,2024-02-27 08:14:10,70
Yishai,Game2,Lose,2024-02-02 07:25:34,100
Avi386,Game2,Win,2024-01-06 10:36:59,25
Ron,Game1,Lose,2024-01-04 06:54:04,55
Ophir,Game1,Win,2024-01-02 09:56:54,25
Ziva,Game1,Win,2023-12-10 07:02:20,100
Revital9774,Game1,Win,2024-02-14 01:36:50,55
Nirit,Game1,Lose,2024-01-03 00:08:52,35
Michal7894,Game1,Win,2023-12-30 09:48:30,65
Noam,Game1,Win,2024-01-13 22:33:45,0
Guy9946,Game2,Win,2023-12-24 01:45:37,50
Amram,Game2,Lose,2024-03-01 09:42:40,25
Noya,Game2,Lose,2024-01-25 20:48:11,75
Yifat4581,Game2,Lose,2024-02-16 02:06:07,10
Tali5497,Game1,Lose,2023-12-30 00:36:42,20
Ron9550,Game2,Lose,2023-12-20 23:24:45,90
Sharon,Game1,Win,2024-01-20 00:24:00,60
Hadar,Game2,Lose,2024-02-13 02:50:01,35
Moti9269,Game2,Lose,2024-02-08 05:25:15,45
Hila,Game1,Win,2024-01-24 04:39:21,40
Sivan,Game2,Win,2024-01-27 05:36:53,90
Shani6864,Game2,Win,2023-12-23 13:25:04,95
Shulamit1324,Game2,Lose,2024-02-27 12:26:46,25
Oded4632,Game1,Lose,2024-03-02 00:38:24,70
Orly3565,Game2,Win,2024-02-20 04:54:09,55
Leah6624,Game1,Win,2024-02-05 11:10:56,10
Kfir,Game1,Win,2023-12-29 09:06:50,55
Yael,Game1,Win,2024-03-02 22:19:32,75
Orit5861,Game2,Lose,2024-01-31 11:38:30,0
Yocheved,Game1,Lose,2024-02-07 00:00:03,30
Rafael,Game1,Win,2024-01-25 12:36:36,20
Yulia78,Game2,Win,2024-02-29 21:58:58,85
Omri,Game2,Lose,2024-01-26 06:40:47,90
Avraham,Game1,Win,2024-01-16 21:47:17,95
Einav7278,Game2,Win,2024-01-21 04:56:51,35
Amir2862,Game2,Win,2024-02-05 12:57:06,65
Michal7894,Game2,Win,2024-03-01 02:55:22,100
Dror2197,Game2,Win,2024-03-04 04:34:39,30
Michal7894,Game2,Lose,2024-02-18 23:37:38,10
Esti,Game1,Win,2024-02-15 05:21:03,90
Yulia78,Game1,Win,2024-02-07 23:25:55,5
Ophir2711,Game1,Lose,2024-02-25 02:42:37,85
Sapir,Game1,Win,2023-12-11 13:27:05,65
Adva,Game2,Win,2023-12-29 12:12:22,90
Natan,Game1,Lose,2024-02-13 17:45:20,30
Maya728,Game1,Win,2023-12-13 11:46:20,90
Yocheved3774,Game1,Win,2023-12-08 15:32:26,65
Tom6857,Game2,Win,2024-01-10 03:19:25,10
Bar,Game1,Win,2023-12-30 06:47:27,5
Ron,Game2,Lose,2024-01-02 18:02:10,60
Ami,Game1,Win,2024-01-07 14:11:37,90
Vardit753,Game1,Lose,2024-02-28 05:14:35,55
Zeev4451,Game1,Win,2024-02-02 01:20:36,0
Alon3149,Game2,Win,2024-01-07 23:12:59,25
Sigalit9222,Game2,Win,2024-02-18 23:51:17,10
Gideon7235,Game2,Win,2024-01-27 18:53:05,20
Oded8989,Game2,Lose,2024-01-22 12:48:34,15
Yiftach8620,Game1,Win,2023-12-18 13:56:23,85
Dana5937,Game1,Win,2024-02-21 13:41:52,50
Lior5292,Game1,Win,2024-01-23 02:06:30,80
Revital,Game2,Win,2023-12-13 21:16:36,0
Ziva,Game2,Win,2023-12-10 18:42:57,100
Zvi,Game2,Win,2023-12-24 05:32:25,70
Sigal712,Game2,Win,2023-12-04 18:35:24,35
Adi,Game1,Win,2024-01-01 19:30:11,100
Rachel4111,Game2,Win,2024-01-22 03:57:58,90
Elad,Game2,Lose,2024-03-04 11:45:42,100
Yohanan,Game1,Win,2023-12-26 02:39:40,40
Elad,Game1,Win,2023-12-26 14:32:38,70
Dikla,Game1,Lose,2024-01-20 08:09:12,70
Nimrod,Game2,Win,2024-01-11 03:18:51,55
Hadar5460,Game2,Win,2024-02-07 01:15:43,50
Maya728,Game2,Lose,2024-01-06 10:48:49,75
Sapir,Game1,Lose,2024-02-17 16:21:53,25
Lilach207,Game1,Lose,2024-02-08 12:53:22,90
Leah,Game2,Lose,2023-12-16 03:09:47,35
Yael6140,Game1,Lose,2024-02-26 02:39:43,75
Shulamit407,Game1,Win,2024-02-12 22:17:38,100
Shlomit,Game1,Win,2024-01-13 06:50:50,45
Avital1065,Game1,Lose,2024-01-14 01:16:52,5
Shulamit7679,Game1,Lose,2023-12-08 14:29:01,0
Sharon3110,Game2,Win,2024-01-27 13:23:50,100
Lilach,Game2,Win,2024-02-26 05:51:29,100
Yulia8617,Game1,Win,2024-03-04 06:59:47,85
Sigal712,Game2,Lose,2024-01-22 10:15:56,30
Lilach,Game2,Win,2023-12-01 08:45:30,75
Amram2249,Game1,Win,2023-12-20 00:14:54,50
Gadi8688,Game2,Win,2024-02-06 14:47:49,70
Erez1282,Game1,Lose,2023-12-05 21:31:21,55
Shoham8629,Game2,Lose,2024-02-12 01:57:01,20
Yishai2209,Game1,Win,2024-02-29 17:27:56,20
Erez,Game1,Win,2023-12-28 00:24:44,30
Itai8410,Game1,Lose,2024-01-16 00:40:33,50
Amram4898,Game1,Win,2023-12-09 13:32:05,5
Noa4796,Game2,Lose,2024-01-08 12:53:30,0
Shani6864,Game1,Win,2024-01-25 13:39:51,55
Avi6572,Game2,Lose,2024-03-01 11:28:22,60
Yoav,Game1,Lose,2024-01-29 03:11:01,70
Leah9650,Game2,Win,2024-02-18 14:40:15,20
Eitan1827,Game2,Lose,2023-12-09 09:19:19,40
Nurit3356,Game2,Win,2023-12-29 11:05:24,70
Yulia,Game1,Win,2024-02-20 03:19:12,50
Tuvia6024,Game1,Lose,2024-01-27 11:51:31,70
Yair407,Game2,Win,2024-01-04 02:50:07,65
Shira7205,Game2,Lose,2023-12-13 18:56:01,25
Shani1927,Game1,Lose,2024-01-08 05:29:05,75
Yishai3414,Game1,Win,2024-02-28 11:56:26,95
Moti,Game2,Lose,2024-01-22 19:09:34,25
Tzipi1745,Game2,Lose,2024-02-29 00:26:29,60
Noa4796,Game1,Win,2023-12-17 19:42:43,65
Irit,Game1,Lose,2024-02-01 01:36:01,35
Ami4562,Game2,Win,2023-12-23 18:52:16,80
Rachel4111,Game2,Lose,2024-01-01 11:12:24,35
Noam8049,Game2,Win,2024-02-19 01:30:18,50
Dror4413,Game2,Lose,2023-12-06 16:01:49,20
Mira,Game1,Lose,2024-02-08 15:17:26,5
Oz9891,Game2,Lose,2024-01-31 07:38:15,90
Stav,Game1,Win,2024-01-19 15:09:54,60
Shalom1604,Game2,Win,2024-02-22 01:25:38,25
Zvi,Game2,Lose,2024-02-21 12:42:14,50
Arik9401,Game1,Lose,2024-02-26 14:21:28,80
Ron9550,Game1,Win,2023-12-02 10:49:49,95
Iris7323,Game2,Win,2024-02-27 17:40:03,30
Dudu,Game1,Win,2023-12-24 05:19:52,50
Hadar,Game2,Win,2023-12-24 15:41:41,40
Amira4246,Game2,Win,2024-01-04 19:39:03,0
Avraham891,Game2,Lose,2024-02-23 16:53:58,30
Yaelle,Game2,Win,2024-01-17 00:38:22,60
Nir,Game1,Lose,2024-01-21 04:35:29,75
Hadar5386,Game2,Win,2024-01-19 14:44:10,10
Shlomo8784,Game2,Lose,2024-02-20 07:06:35,55
Itai8410,Game1,Lose,2024-02-29 09:15:36,45
Aviad,Game1,Win,2024-01-23 17:28:04,40
Noam,Game2,Win,2024-01-03 16:16:37,65
Nir8054,Game2,Lose,2024-01-31 06:07:24,75
Shira,Game1,Win,2024-01-20 20:32:47,20
Amir2862,Game1,Win,2024-01-10 21:56:58,10
Sigal,Game1,Lose,2024-02-09 20:53:54,90
Nirit,Game2,Win,2024-01-11 13:35:44,35
Amalia5072,Game1,Lose,2024-02-02 05:52:53,40
Orly3565,Game1,Win,2024-02-03 15:22:31,5
Yiska8496,Game1,Win,2024-02-03 17:38:16,40
Aviad9839,Game2,Lose,2024-01-21 12:47:10,60
Yehudit7031,Game1,Lose,2024-02-16 02:50:09,60
Lilach795,Game1,Lose,2024-02-02 23:41:02,90
Gal7573,Game2,Lose,2023-12-03 14:26:53,5
Avraham9932,Game2,Lose,2024-01-16 19:01:42,90
Hila,Game1,Lose,2024-01-13 04:54:58,95
Amos,Game1,Win,2023-12-20 13:51:50,65
Aviad689,Game1,Win,2024-02-26 00:35:18,60
Noam8049,Game2,Lose,2023-12-28 13:33:23,70
